"Indicator","PUBLISH STATES","Year","WHO region","Countries, territories and areas","Sex","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"Life expectancy at age 60 (years)","Published","2015","Americas","Argentina","Male","18.6","18.63383","","","","",""
"Life expectancy at birth (years)","Published","2019","Americas","Argentina","Male","73.5","73.51080","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Americas","Argentina","Male","65.4","65.40311","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Americas","Argentina","Male","18.8","18.84240","","","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Argentina","Female","77.8","77.82746","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Argentina","Female","67.5","67.46180","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Argentina","Female","22.5","22.51760","","","","",""
"Life expectancy at birth (years)","Published","2010","Americas","Argentina","Female","78.6","78.63397","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Americas","Argentina","Female","68.2","68.17058","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Americas","Argentina","Female","22.7","22.69630","","","","",""
"Life expectancy at birth (years)","Published","2015","Americas","Argentina","Female","79.3","79.29972","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Americas","Argentina","Female","68.7","68.69806","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Americas","Argentina","Female","23.0","23.04211","","","","",""
"Life expectancy at birth (years)","Published","2019","Americas","Argentina","Female","79.5","79.50281","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Americas","Argentina","Female","68.8","68.76596","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Americas","Argentina","Female","23.1","23.08149","","","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Argentina","Both sexes","74.1","74.08556","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Argentina","Both sexes","65.1","65.14491","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Argentina","Both sexes","20.2","20.18435","","","","",""
"Life expectancy at birth (years)","Published","2010","Americas","Argentina","Both sexes","75.4","75.43737","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Americas","Argentina","Both sexes","66.3","66.29948","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Americas","Argentina","Both sexes","20.6","20.62202","","","","",""
"Life expectancy at birth (years)","Published","2015","Americas","Argentina","Both sexes","76.2","76.16682","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Americas","Argentina","Both sexes","66.9","66.85706","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Americas","Argentina","Both sexes","21.0","20.98281","","","","",""
"Life expectancy at birth (years)","Published","2019","Americas","Argentina","Both sexes","76.6","76.57514","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Americas","Argentina","Both sexes","67.1","67.12776","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Americas","Argentina","Both sexes","21.1","21.10569","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Armenia","Male","68.6","68.58817","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Armenia","Male","61.2","61.18815","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Armenia","Male","17.1","17.07504","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Armenia","Male","69.4","69.38869","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Armenia","Male","62.4","62.36471","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Armenia","Male","16.8","16.76439","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Armenia","Male","70.9","70.88089","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Armenia","Male","63.7","63.66690","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Armenia","Male","17.3","17.32031","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Armenia","Male","72.5","72.48704","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Armenia","Male","64.9","64.88280","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Armenia","Male","18.2","18.24439","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Armenia","Female","74.9","74.90656","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Armenia","Female","65.6","65.64015","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Armenia","Female","20.2","20.23012","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Armenia","Female","76.6","76.61044","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Armenia","Female","67.2","67.18031","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Armenia","Female","20.5","20.52249","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Armenia","Female","77.8","77.83168","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Armenia","Female","68.1","68.14306","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Armenia","Female","21.2","21.17347","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Armenia","Female","79.2","79.16326","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Armenia","Female","69.1","69.10166","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Armenia","Female","22.1","22.14937","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Armenia","Both sexes","71.9","71.88136","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Armenia","Both sexes","63.5","63.50006","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Armenia","Both sexes","18.8","18.81273","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Armenia","Both sexes","73.1","73.11896","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Armenia","Both sexes","64.8","64.84450","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Armenia","Both sexes","18.8","18.79116","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Armenia","Both sexes","74.5","74.51096","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Armenia","Both sexes","66.0","65.99944","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Armenia","Both sexes","19.4","19.42225","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Armenia","Both sexes","76.0","76.02519","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Armenia","Both sexes","67.1","67.11749","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Armenia","Both sexes","20.4","20.40912","","","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Antigua and Barbuda","Male","72.0","71.99642","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Antigua and Barbuda","Male","63.9","63.93232","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Antigua and Barbuda","Male","19.1","19.11551","","","","",""
"Life expectancy at birth (years)","Published","2010","Americas","Antigua and Barbuda","Male","73.6","73.56496","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Americas","Antigua and Barbuda","Male","65.3","65.28322","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Americas","Antigua and Barbuda","Male","19.1","19.13809","","","","",""
"Life expectancy at birth (years)","Published","2015","Americas","Antigua and Barbuda","Male","74.4","74.43078","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Americas","Antigua and Barbuda","Male","65.9","65.93613","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Americas","Antigua and Barbuda","Male","19.6","19.58714","","","","",""
"Life expectancy at birth (years)","Published","2019","Americas","Antigua and Barbuda","Male","74.9","74.88465","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Americas","Antigua and Barbuda","Male","66.2","66.24539","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Americas","Antigua and Barbuda","Male","19.8","19.80667","","","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Antigua and Barbuda","Female","77.0","76.95264","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Antigua and Barbuda","Female","67.0","67.04361","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Antigua and Barbuda","Female","21.3","21.31565","","","","",""
"Life expectancy at birth (years)","Published","2010","Americas","Antigua and Barbuda","Female","78.2","78.24885","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Americas","Antigua and Barbuda","Female","68.1","68.09175","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Americas","Antigua and Barbuda","Female","21.8","21.77437","","","","",""
"Life expectancy at birth (years)","Published","2015","Americas","Antigua and Barbuda","Female","77.8","77.75526","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Americas","Antigua and Barbuda","Female","67.7","67.65673","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Americas","Antigua and Barbuda","Female","21.2","21.19921","","","","",""
"Life expectancy at birth (years)","Published","2019","Americas","Antigua and Barbuda","Female","78.0","77.95840","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Americas","Antigua and Barbuda","Female","67.7","67.69177","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Americas","Antigua and Barbuda","Female","21.3","21.31431","","","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Antigua and Barbuda","Both sexes","74.6","74.56184","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Antigua and Barbuda","Both sexes","65.5","65.53024","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Antigua and Barbuda","Both sexes","20.3","20.27213","","","","",""
"Life expectancy at birth (years)","Published","2010","Americas","Antigua and Barbuda","Both sexes","75.9","75.94979","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Americas","Antigua and Barbuda","Both sexes","66.7","66.70147","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Americas","Antigua and Barbuda","Both sexes","20.5","20.49768","","","","",""
"Life expectancy at birth (years)","Published","2015","Americas","Antigua and Barbuda","Both sexes","76.1","76.13984","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Americas","Antigua and Barbuda","Both sexes","66.8","66.81332","","","","",""
